site,site_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
CHARLOTTETOWN,000020104,0.7,0.6,0.4,0.6,0.8,1.1,1.2,1.1,1.6,1.5,2.2,1.7,1.6,1.2,1.2,1.7,2.5,3.3,3.2,3.6,4.3,3.9,3.7,3.6
CHARLOTTETOWN,000020104,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
WELLINGTON,000020301,3.3,1.5,0.9,1.2,0.7,0.9,1.7,1.4,0.9,1.4,1.7,1.4,1.3,1.7,2.4,2.9,2.9,3.0,3.3,3.7,3.7,3.6,3.5,3.8
WELLINGTON,000020301,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
SOUTHAMPTON,000020401,1.6,1.3,1.0,0.9,0.9,1.5,1.5,1.5,1.4,1.6,1.4,1.2,1.6,2.1,2.4,4.0,4.7,5.8,7.3,7.4,7.0,6.4,6.7,5.6
SOUTHAMPTON,000020401,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
JOHNSTON BUILDING -,000030113,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
JOHNSTON BUILDING -,000030113,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Lake Major,000030120,3.2,3.0,2.9,3.6,3.2,2.5,1.6,2.5,2.8,3.4,4.5,5.6,6.2,-999,6.0,4.7,-999,-999,-999,9.3,9.9,9.4,10.0,10.3
Lake Major,000030120,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,M,M,M,G,G,G,G,G
PORT HAWKESBURY,000030201,1.8,2.0,1.2,0.7,1.1,1.3,1.5,1.1,2.2,3.1,3.4,6.1,8.4,-999,10.3,9.5,-999,-999,-999,8.4,8.9,6.9,7.2,8.4
PORT HAWKESBURY,000030201,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,M,M,M,G,G,G,G,G
SYDNEY,000030310,1.4,2.1,2.4,2.1,1.3,1.2,0.9,0.8,0.7,1.6,1.9,2.4,4.2,-999,6.0,5.8,-999,-999,-999,8.0,6.6,4.9,4.8,6.4
SYDNEY,000030310,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,M,M,M,G,G,G,G,G
AYLESFORD MOUNTAIN,000030701,0.2,0.2,0.2,0.3,0.2,0.5,1.2,2.2,2.0,2.0,1.3,-999,2.0,-999,0.9,0.6,-999,-999,-999,0.8,1.0,0.9,0.7,1.0
AYLESFORD MOUNTAIN,000030701,G,G,G,G,G,G,G,G,G,G,G,M,G,M,G,G,M,M,M,G,G,G,G,G
PICTOU,000030901,0.4,0.4,0.4,0.6,0.7,0.9,1.0,0.9,0.9,0.8,1.1,1.0,1.4,-999,3.5,3.5,-999,-999,-999,-999,3.8,4.4,5.6,5.1
PICTOU,000030901,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,M,M,M,M,G,G,G,G
KENTVILLE,000031101,1.3,1.2,1.3,1.3,1.3,1.5,2.0,2.3,1.9,1.4,1.5,1.5,1.5,-999,1.6,1.9,-999,-999,-999,1.6,2.2,2.1,2.7,2.7
KENTVILLE,000031101,G,G,G,G,G,G,G,G,G,G,G,G,G,M,G,G,M,M,M,G,G,G,G,G
Laval - Chomedey,000050113,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
Laval - Chomedey,000050113,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
Longueuil,000050119,19.8,17.1,15.5,10.9,7.0,7.5,14.1,14.9,12.6,11.0,4.7,3.7,3.6,4.0,4.0,4.2,3.7,3.5,4.0,4.4,4.0,3.2,2.7,3.2
Longueuil,000050119,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Brossard - Parc Sor,000050122,23.8,16.3,15.3,13.0,7.0,7.4,12.4,15.6,13.5,11.6,8.0,3.7,3.5,3.7,6.0,4.0,4.0,3.5,3.8,4.4,4.5,4.7,3.2,3.3
Brossard - Parc Sor,000050122,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Terrebonne - Parc V,000050137,21.1,14.6,15.1,8.5,8.6,10.8,16.3,22.0,20.0,5.9,4.7,2.7,3.0,3.3,3.3,3.2,2.7,2.7,2.5,2.2,2.5,3.1,3.1,2.0
Terrebonne - Parc V,000050137,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Gatineau - Hull,000050204,432.0,533.3,546.2,505.1,476.8,414.6,367.3,306.1,269.1,232.1,185.1,122.0,111.2,99.0,88.0,77.5,48.3,34.8,28.3,34.0,43.7,48.2,33.6,17.6
Gatineau - Hull,000050204,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Québec - Vieux-Limo,000050308,2.7,1.8,1.3,1.3,1.3,1.3,1.8,2.2,3.1,3.1,3.1,3.7,5.2,3.1,4.2,2.6,3.1,2.8,2.1,2.3,4.0,2.7,2.7,2.6
Québec - Vieux-Limo,000050308,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Québec - Collège St,000050310,1.6,1.1,1.3,1.0,1.1,1.5,1.6,2.2,1.6,2.2,2.3,2.2,1.8,2.0,2.5,1.1,0.8,1.1,1.3,1.3,2.5,2.1,2.1,2.0
Québec - Collège St,000050310,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Québec - École Les,000050311,1.3,1.1,1.0,1.1,1.1,1.1,1.3,1.3,1.6,1.6,1.6,2.2,2.6,2.7,2.8,2.7,1.3,1.3,1.6,1.5,2.2,2.7,2.6,2.7
Québec - École Les,000050311,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
Saguenay - UQAC,000050504,1.8,1.6,1.6,1.6,1.3,1.0,1.6,1.3,1.6,0.9,1.0,0.9,1.0,1.0,0.6,1.0,1.3,1.1,1.5,1.1,3.5,4.5,2.2,2.8
Saguenay - UQAC,000050504,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
